time,track,range,angle,rangerate,latrate,power
26.1006019115,38,26.0,-32.9,-0.01,0.0,5
26.1006019115,53,58.2,-12.7,-0.01,-0.5,15
26.1006019115,16,49.6,15.1,-0.01,0.25,13
26.1505548954,38,25.9,-33.4,0.02,0.0,6
26.1505548954,53,58.9,-12.5,0.02,-0.5,9
26.1505548954,16,49.7,15.3,0.01,1.5,12
26.2005989552,25,58.8,8.4,-0.01,-0.75,11
26.2005989552,38,25.9,-33.6,0.0,0.0,8
26.2005989552,16,49.7,13.8,-0.01,1.25,13
26.2505609989,25,58.6,8.9,0.01,-0.5,5
26.2505609989,38,26.4,-33.3,0.01,0.0,5
26.2505609989,16,49.6,14.0,0.02,1.25,10
26.3006260395,38,26.1,-33.9,-0.01,0.0,6
26.3006260395,53,57.7,-11.2,0.0,0.5,12
26.3006260395,16,49.4,13.4,0.0,0.5,13
26.3506009579,38,26.4,-34.2,0.02,0.0,4
26.3506009579,16,49.8,15.1,-0.01,1.5,14
26.4006409645,38,26.0,-34.5,-0.01,-0.25,8
26.4006409645,53,58.6,-10.8,-0.01,1.5,10
26.4006409645,16,49.5,13.6,0.0,0.75,13
26.4506008625,38,26.1,-34.8,-0.01,-0.25,6
26.4506008625,53,58.0,-10.8,-0.02,2.25,12
26.4506008625,16,49.8,14.2,-0.02,1.0,11
26.5006270409,52,41.2,22.8,-0.01,1.5,6
26.5006270409,38,25.8,-33.5,-0.01,-0.25,7
26.5006270409,53,58.2,-12.9,0.01,1.25,13
26.5006270409,16,49.6,12.5,0.0,-0.25,13
26.5506260395,38,25.9,-35.6,-0.01,-0.25,3
26.5506260395,16,49.8,14.4,0.02,0.25,11
26.60064888,38,25.8,-32.0,-0.01,0.0,5
26.60064888,16,49.4,14.7,-0.01,0.5,12
26.650593996,46,50.5,7.9,-0.01,0.5,3
26.650593996,38,25.9,-35.2,0.01,-0.25,4
26.650593996,16,49.9,12.9,0.01,-0.25,13
26.7006628513,38,26.0,-30.9,-0.02,0.0,3
26.7006628513,17,11.0,-40.4,-3.41,0.75,1
26.7006628513,16,49.6,14.2,-0.01,0.0,12
26.7506480217,46,50.2,8.6,-0.01,0.5,1
26.7506480217,38,26.4,-30.7,-0.02,0.25,2
26.7506480217,16,49.9,15.8,-0.01,1.25,12
26.8007309437,53,58.4,-14.7,-0.01,-0.75,11
26.8007309437,17,10.8,-38.9,-3.39,1.25,3
26.8007309437,16,49.4,14.1,0.0,1.0,13
26.85064888,26,10.6,-38.1,-3.3,0.25,8
26.85064888,16,49.9,14.4,-0.01,1.0,12
26.85064888,53,57.9,-15.1,0.02,-2.25,13
26.9006450176,25,59.9,8.5,-0.02,-0.5,2
26.9006450176,26,10.3,-37.8,-3.38,0.75,2
26.9006450176,16,49.5,15.3,-0.01,1.5,13
26.9006450176,53,57.9,-15.9,0.01,-4.0,10
26.9506719112,25,59.5,8.8,0.0,0.75,1
26.9506719112,16,49.8,13.4,-0.01,0.5,12
26.9506719112,53,58.0,-15.4,-0.02,-5.0,14
27.0006649494,25,60.1,8.9,-0.02,1.75,1
27.0006649494,26,10.1,-33.9,-3.19,2.5,6
27.0006649494,27,10.5,-31.3,-2.84,1.0,6
27.0006649494,16,49.6,15.3,0.01,1.0,13
27.0006649494,35,10.5,-33.7,-3.07,0.0,6
27.0006649494,61,10.0,-31.3,-2.9,1.75,6
27.0006649494,53,58.3,-13.4,0.0,-4.25,10
27.0507109165,25,59.4,8.4,-0.02,1.5,2
27.0507109165,16,49.8,14.8,-0.01,1.25,13
27.1006529331,26,9.8,-34.1,-3.03,3.25,1
27.1006529331,16,49.7,13.8,-0.01,0.5,14
27.1006529331,35,9.7,-34.1,-2.95,1.0,1
27.1006529331,61,9.6,-30.3,-2.79,4.25,4
27.1506869793,13,75.9,4.3,-0.02,-0.5,8
27.1506869793,16,49.8,13.1,0.01,-0.5,11
27.1506869793,61,9.6,-30.2,-2.93,4.5,3
27.2007529736,13,75.8,4.1,-0.01,-1.0,8
27.2007529736,17,9.0,-31.2,-2.71,4.5,6
27.2007529736,16,49.6,15.1,-0.02,0.0,12
27.2007529736,26,9.5,-31.2,-2.79,4.0,6
27.2007529736,61,9.4,-29.8,-2.53,4.5,2
27.2007529736,53,57.8,-12.6,-0.02,-2.75,11
27.2507300377,13,75.4,4.1,0.0,-1.5,9
27.2507300377,16,49.8,15.3,-0.01,0.75,13
27.3006999493,25,58.7,9.9,0.0,2.0,12
27.3006999493,13,75.5,4.4,0.0,-1.25,9
27.3006999493,17,9.3,-27.6,-2.78,6.0,2
27.3006999493,16,49.5,13.4,-0.01,-0.25,13
27.3507020473,25,58.9,8.9,-0.01,1.75,12
27.3507020473,13,75.5,4.3,0.01,-1.25,10
27.3507020473,59,9.1,-21.4,-2.07,0.25,4
27.3507020473,16,49.5,13.9,0.01,-0.5,10
27.3507020473,61,9.2,-26.0,-2.43,4.5,5
27.4007430077,13,75.5,4.3,0.01,-1.25,9
27.4007430077,16,49.5,12.5,0.02,-1.5,13
27.4007430077,26,9.2,-19.8,-1.85,4.0,5
27.4507319927,25,58.6,5.7,-0.02,-0.5,10
27.4507319927,13,75.8,4.1,-0.01,-1.25,11
27.4507319927,16,49.5,14.0,-0.01,-1.5,12
27.4507319927,26,9.1,-25.6,-2.46,4.0,1
27.4507319927,61,8.3,-25.5,-2.35,4.25,1
27.5007359982,13,75.6,4.1,-0.02,-1.25,10
27.5007359982,16,49.5,14.6,-0.01,-0.75,14
27.5007359982,26,8.9,-15.6,-1.57,4.25,4
27.5007359982,35,10.7,-38.2,-3.77,-3.25,4
27.5007359982,61,8.9,-21.1,-2.29,4.25,1
27.5507040024,13,75.8,4.3,-0.03,-1.25,9
27.5507040024,16,49.5,13.9,-0.06,-0.75,12
27.5507040024,35,10.6,-38.2,-3.75,-3.5,4
27.5507040024,61,8.9,-11.7,-1.21,4.75,3
27.6007618904,13,75.8,4.1,-0.09,-1.25,8
27.6007618904,59,8.6,-13.0,-1.31,4.0,10
27.6007618904,35,10.4,-37.0,-3.7,-3.0,10
27.6007618904,16,49.5,11.8,-0.1,-2.25,12
27.6507110596,13,76.6,3.8,-0.12,-1.25,10
27.6507110596,59,8.6,-11.3,-1.33,4.5,5
27.6507110596,16,49.4,12.3,-0.11,-2.75,14
27.6507110596,35,10.3,-35.2,-3.59,-1.75,4
27.6507110596,61,8.7,-9.9,-1.11,4.75,9
27.7007508278,13,76.6,3.8,-0.13,-1.25,5
27.7007508278,59,8.6,-11.2,-1.23,5.0,4
27.7007508278,26,8.7,-5.9,-0.78,4.75,10
27.7007508278,35,10.1,-33.0,-3.45,-0.25,6
27.7507350445,61,8.5,-10.6,-1.58,5.0,1
27.7507350445,26,8.4,-9.3,-1.12,4.75,6
27.7507350445,59,8.7,-7.3,-0.86,5.25,11
27.7507350445,17,8.3,-8.7,-1.74,7.5,1
27.800773859,61,8.5,-3.5,-0.52,5.25,14
27.800773859,59,8.2,-6.7,-0.87,5.25,8
27.800773859,29,26.7,-31.6,-0.22,1.75,7
27.800773859,17,8.4,-7.6,-1.12,7.5,15
27.8507590294,61,8.4,-6.9,-1.1,5.25,7
27.8507590294,13,77.6,3.6,-0.27,-1.25,6
27.8507590294,59,8.1,-4.8,-0.86,5.25,11
